600,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1138,1138,1138,1138,1138,1138,1138,1138,1138,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,1140,装机出力线
300,1105,1105,1105,1098.2,1098.2,1098.2,1089,1089,1089,1078.2,1078.2,1078.2,1076,1076,1076,1081.8,1081.8,1081.8,1093.6,1093.6,1093.6,1099.1,1099.1,1099.1,1105,1105,1105,1118.2,1118.2,1118.2,1116.7,1116.7,1116.7,1111.8,1111.8,1111.8,加大出力线
159.1,1136,1136,1136,1132.4,1132.4,1132.4,1128.8,1128.8,1128.8,1124,1124,1124,1118.2,1118.2,1118.2,1129.2,1129.2,1129.2,1134,1134,1134,1136,1136,1136,1139.4,1139.4,1139.4,1140,1140,1140,1140,1140,1140,1139.4,1139.4,1139.4,保证出力线
