200,868,868,868,868,868,868,864.67,864.67,864.67,857.24,857.24,857.24,851.29,851.29,851.29,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868
40.5,868,868,868,868,868,868,860.63,860.63,860.63,854.08,854.08,854.08,849.6,849.6,849.6,845,845,845,867.7,867.7,867.7,868,868,868,868,868,868,868,868,868,868,868,868,868,868,868
20,856.93,856.93,856.93,852.39,852.39,852.39,845,845,845,845,845,845,845,845,845,845,845,845,845,845,845,868,868,868,868,868,868,868,868,868,862.84,862.84,862.84,861.26,861.26,861.26
